unid,survey_date_month,survey_num,gender,working,cft_score,num_score,com_score,grit_score,opt_score
51309,2018-01-01,1,Female,False,5.0,3.0,6.0,7,4.0
79325,2018-04-01,1,Female,False,,,,7,
16136,2018-09-01,1,Female,False,6.0,3.0,6.0,1,
27874,2018-02-01,1,Male,False,,,,8,3.0
27874,2018-08-01,2,Male,False,,,,8,3.0
67925,2017-11-01,1,Female,False,,,,8,4.0
6132,2016-03-01,1,Female,False,2.0,,,8,10.0
35046,2016-05-01,1,Male,False,6.0,6.0,5.0,7,
35046,2016-09-01,2,Male,False,6.0,6.0,5.0,7,
13702,2016-05-01,1,Male,False,4.0,,,4,5.0
13702,2017-01-01,2,Male,True,4.0,,,4,5.0
13054,2018-02-01,1,Female,False,,,,7,6.0
13054,2018-09-01,2,Female,False,,,,7,6.0
89172,2017-01-01,1,Female,False,4.0,,,9,
89172,2017-05-01,2,Female,False,4.0,,,9,
53133,2016-08-01,1,Male,True,6.0,,,5,8.0
53133,2016-12-01,2,Male,True,6.0,,,5,8.0
53133,2017-04-01,3,Male,True,6.0,,,5,8.0
18678,2018-05-01,1,Female,False,,,,2,
64687,2017-02-01,1,Female,False,3.0,,,3,
35521,2017-10-01,1,Male,False,,,,0,4.0
36481,2017-06-01,1,Female,False,8.0,,7.0,3,
36481,2018-02-01,2,Female,True,8.0,,7.0,3,
4708,2018-06-01,1,Female,True,,,,0,
3780,2018-05-01,1,Female,False,,,,8,
3780,2018-05-01,2,Female,False,,,,8,
6639,2018-07-01,1,Female,True,,,,6,
97062,2018-02-01,1,Female,False,,,,6,5.0
22777,2017-08-01,1,Male,False,,,,8,6.0
22777,2017-12-01,2,Male,False,,,,8,6.0
54964,2016-05-01,1,Female,False,3.0,,,9,9.0
42851,2016-02-01,1,Female,False,6.0,4.0,6.0,7,8.0
42851,2017-02-01,2,Female,False,6.0,4.0,6.0,7,8.0
42851,2017-06-01,3,Female,True,6.0,4.0,6.0,7,8.0
42851,2017-10-01,4,Female,True,6.0,4.0,6.0,7,8.0
42851,2018-07-01,5,Female,False,6.0,4.0,6.0,7,8.0
29801,2018-03-01,1,Female,False,,,,9,4.0
23643,2016-03-01,1,Male,False,3.0,,,6,7.0
23643,2016-06-01,2,Male,False,3.0,,,6,7.0
28577,2018-06-01,1,Female,False,8.0,,,2,
3911,2018-10-01,1,Female,False,,,,2,
100584,2018-05-01,1,Male,False,,,,3,
84484,2018-09-01,1,Female,False,6.0,,,5,
50111,2018-05-01,1,Female,False,,,,8,
90130,2017-07-01,1,Female,False,,,,9,2.0
8511,2017-01-01,1,Female,False,4.0,3.0,7.0,8,
8511,2017-05-01,2,Female,False,4.0,3.0,7.0,8,
8511,2017-09-01,3,Female,False,4.0,3.0,7.0,8,
8511,2018-01-01,4,Female,False,4.0,3.0,7.0,8,
13755,2017-07-01,1,Male,False,,,,3,1.0
26459,2018-05-01,1,Female,False,,,,9,
52100,2016-12-01,1,Female,True,4.0,,,7,9.0
52100,2017-04-01,2,Female,True,4.0,,,7,9.0
52100,2017-08-01,3,Female,True,4.0,,,7,9.0
